Station,Heure,Jour,Meteo,Affluence
République,11,Samedi,Soleil,141
Auber / Opéra,23,Jeudi,Pluie,490
République,15,Mercredi,Nuageux,249
Nation,12,Vendredi,Pluie,204
Neuilly-Plaisance,21,Mercredi,Soleil,238
Gare du Nord,8,Mardi,Soleil,551
Châtelet-Les Halles,8,Dimanche,Soleil,241
Cergy-Préfecture,22,Mercredi,Nuageux,241
Créteil-Préfecture,21,Lundi,Pluie,150
Créteil-Préfecture,7,Lundi,Pluie,299
Boulogne - Pont de Sèvres,13,Dimanche,Pluie,56
Montparnasse,10,Mercredi,Pluie,182
La Défense,6,Mercredi,Pluie,261
Neuilly-Plaisance,16,Mardi,Pluie,150
Nation,19,Samedi,Pluie,736
Saint-Denis (Stade),13,Mardi,Pluie,213
La Défense,6,Vendredi,Pluie,131
Châtelet-Les Halles,16,Lundi,Soleil,327
La Défense,20,Vendredi,Pluie,583
Montparnasse,11,Vendredi,Soleil,246
Vincennes,5,Mercredi,Pluie,65
Marne-la-Vallée (Chessy),11,Lundi,Pluie,232
La Défense,7,Vendredi,Soleil,335
Châtelet-Les Halles,9,Mercredi,Pluie,811
Montparnasse,7,Jeudi,Nuageux,355
Créteil-Préfecture,19,Dimanche,Pluie,591
Marne-la-Vallée (Chessy),10,Mardi,Soleil,93
Auber / Opéra,19,Mercredi,Soleil,1065
République,7,Mercredi,Soleil,256
Vincennes,5,Vendredi,Pluie,68
Vincennes,6,Mercredi,Nuageux,56
Bercy,8,Samedi,Nuageux,190
Noisy-le-Grand,18,Mercredi,Pluie,798
Aéroport CDG 2,18,Samedi,Soleil,586
Auber / Opéra,14,Vendredi,Soleil,260
Massy-Palaiseau,15,Mercredi,Nuageux,253
Aéroport d'Orly,8,Samedi,Pluie,276
Gare de Lyon,19,Mardi,Nuageux,1201
Montparnasse,8,Lundi,Pluie,476
Créteil-Préfecture,20,Dimanche,Nuageux,163
Auber / Opéra,6,Vendredi,Soleil,36
Noisy-le-Grand,17,Jeudi,Nuageux,686
Vincennes,12,Jeudi,Pluie,77
Val de Fontenay,17,Samedi,Soleil,451
Gare de Lyon,12,Lundi,Nuageux,325
Noisy-le-Grand,8,Mardi,Nuageux,239
Auber / Opéra,9,Mercredi,Nuageux,483
Aéroport CDG 2,10,Samedi,Pluie,111
Saint-Denis (Stade),23,Jeudi,Pluie,398
Gare du Nord,14,Mercredi,Nuageux,412
Bercy,7,Mardi,Nuageux,155
Noisy-le-Grand,17,Vendredi,Nuageux,627
Nanterre-Préfecture,13,Lundi,Soleil,136
Versailles-Chantiers,21,Samedi,Soleil,196
Saint-Lazare,14,Mardi,Nuageux,239
Neuilly-Plaisance,16,Jeudi,Soleil,278
Neuilly-Plaisance,17,Jeudi,Soleil,468
Aéroport d'Orly,14,Lundi,Pluie,250
Val de Fontenay,23,Vendredi,Soleil,291
Créteil-Préfecture,23,Mardi,Nuageux,249
Nanterre-Préfecture,21,Jeudi,Soleil,257
Auber / Opéra,9,Samedi,Soleil,316
Châtelet-Les Halles,12,Jeudi,Pluie,299
Châtelet-Les Halles,9,Vendredi,Soleil,575
Nanterre-Préfecture,19,Dimanche,Soleil,320
Nanterre-Préfecture,8,Jeudi,Nuageux,231
Aéroport d'Orly,17,Dimanche,Soleil,577
Noisy-le-Grand,21,Jeudi,Pluie,225
République,9,Mercredi,Pluie,419
La Défense,5,Dimanche,Pluie,127
Auber / Opéra,19,Lundi,Nuageux,1024
Saint-Lazare,14,Samedi,Soleil,138
Nation,15,Mercredi,Soleil,216
République,22,Jeudi,Soleil,237
Montparnasse,17,Vendredi,Pluie,1152
Châtelet-Les Halles,20,Dimanche,Pluie,439
Aéroport CDG 2,23,Samedi,Pluie,319
Bercy,16,Lundi,Nuageux,229
Neuilly-Plaisance,18,Mardi,Pluie,591
Boulogne - Pont de Sèvres,6,Mardi,Pluie,91
Vincennes,14,Vendredi,Nuageux,223
Saint-Denis (Stade),8,Mardi,Nuageux,281
Boulogne - Pont de Sèvres,5,Samedi,Nuageux,15
République,21,Mercredi,Soleil,165
Aéroport d'Orly,15,Jeudi,Pluie,325
Massy-Palaiseau,11,Mardi,Soleil,202
Massy-Palaiseau,21,Samedi,Pluie,183
Aéroport d'Orly,21,Samedi,Nuageux,178
Neuilly-Plaisance,13,Dimanche,Soleil,84
Auber / Opéra,14,Samedi,Pluie,198
Gare du Nord,10,Samedi,Nuageux,135
La Défense,21,Dimanche,Pluie,327
Massy-Palaiseau,20,Mercredi,Nuageux,196
Montparnasse,11,Lundi,Nuageux,205
Massy-Palaiseau,23,Vendredi,Pluie,419
Boulogne - Pont de Sèvres,8,Samedi,Soleil,117
Massy-Palaiseau,21,Dimanche,Nuageux,175
Massy-Palaiseau,13,Lundi,Pluie,192
Gare du Nord,15,Lundi,Nuageux,297
Gare du Nord,5,Mercredi,Nuageux,148
Saint-Denis (Stade),11,Samedi,Soleil,81
Créteil-Préfecture,9,Samedi,Soleil,174
Montparnasse,9,Dimanche,Nuageux,381
Châtelet-Les Halles,5,Mardi,Pluie,194
Châtelet-Les Halles,10,Mercredi,Pluie,214
Aéroport CDG 2,17,Mardi,Soleil,946
Gare du Nord,19,Jeudi,Nuageux,1470
Versailles-Chantiers,8,Vendredi,Pluie,311
Neuilly-Plaisance,21,Jeudi,Pluie,202
Saint-Lazare,17,Dimanche,Pluie,820
Créteil-Préfecture,15,Samedi,Pluie,167
Gare de Lyon,8,Mardi,Pluie,652
Créteil-Préfecture,11,Dimanche,Nuageux,99
Val de Fontenay,23,Mardi,Nuageux,351
Boulogne - Pont de Sèvres,11,Lundi,Nuageux,161
Massy-Palaiseau,18,Mardi,Pluie,946
Saint-Lazare,20,Lundi,Nuageux,324
Boulogne - Pont de Sèvres,13,Samedi,Soleil,179
Montparnasse,6,Lundi,Nuageux,163
Aéroport d'Orly,20,Vendredi,Pluie,243
Gare du Nord,9,Mardi,Nuageux,596
Saint-Lazare,16,Samedi,Soleil,258
Saint-Denis (Stade),19,Jeudi,Soleil,909
Val de Fontenay,7,Mercredi,Pluie,298
Cergy-Préfecture,13,Lundi,Nuageux,180
Cergy-Préfecture,11,Dimanche,Soleil,44
Châtelet-Les Halles,8,Samedi,Pluie,378
République,13,Mercredi,Soleil,242
Saint-Lazare,19,Lundi,Pluie,1417
Cergy-Préfecture,11,Jeudi,Soleil,167
La Défense,15,Lundi,Pluie,458
Aéroport d'Orly,23,Dimanche,Nuageux,208
Gare de Lyon,15,Vendredi,Nuageux,282
Aéroport CDG 2,5,Dimanche,Pluie,192
La Défense,17,Lundi,Soleil,1283
Aéroport CDG 2,17,Dimanche,Soleil,529
Aéroport d'Orly,6,Mardi,Nuageux,101
Auber / Opéra,21,Vendredi,Nuageux,423
Aéroport d'Orly,23,Lundi,Pluie,391
République,19,Lundi,Soleil,958
Châtelet-Les Halles,23,Mercredi,Pluie,666
Nation,14,Lundi,Nuageux,212
Auber / Opéra,14,Samedi,Pluie,146
Juvisy,13,Samedi,Pluie,20
Nation,23,Vendredi,Pluie,412
Châtelet-Les Halles,15,Samedi,Soleil,261
Val de Fontenay,10,Lundi,Pluie,142
Nanterre-Préfecture,6,Mercredi,Pluie,37
Nanterre-Préfecture,14,Jeudi,Nuageux,231
Juvisy,19,Mercredi,Soleil,674
Créteil-Préfecture,9,Mercredi,Nuageux,264
Bercy,22,Lundi,Nuageux,194
La Défense,11,Jeudi,Soleil,224
Auber / Opéra,7,Dimanche,Nuageux,207
Cergy-Préfecture,20,Samedi,Nuageux,164
Cergy-Préfecture,21,Vendredi,Nuageux,370
Nanterre-Préfecture,6,Samedi,Nuageux,26
Aéroport d'Orly,20,Dimanche,Soleil,101
Massy-Palaiseau,5,Vendredi,Soleil,17
Gare du Nord,18,Samedi,Pluie,1079
Châtelet-Les Halles,20,Mardi,Nuageux,447
Cergy-Préfecture,13,Mercredi,Pluie,55
Neuilly-Plaisance,21,Mercredi,Pluie,213
Montparnasse,12,Mardi,Nuageux,160
Montparnasse,13,Dimanche,Soleil,86
Créteil-Préfecture,6,Lundi,Pluie,82
République,17,Vendredi,Nuageux,853
République,5,Samedi,Pluie,115
La Défense,11,Vendredi,Pluie,184
Aéroport CDG 2,22,Mardi,Pluie,494
Cergy-Préfecture,9,Mardi,Soleil,371
Cergy-Préfecture,11,Samedi,Pluie,79
La Défense,16,Mardi,Nuageux,364
Aéroport d'Orly,21,Jeudi,Soleil,250
Boulogne - Pont de Sèvres,9,Mercredi,Nuageux,150
Saint-Denis (Stade),16,Vendredi,Nuageux,194
Boulogne - Pont de Sèvres,23,Lundi,Nuageux,217
Châtelet-Les Halles,17,Dimanche,Pluie,936
Boulogne - Pont de Sèvres,20,Jeudi,Soleil,217
Aéroport d'Orly,23,Mercredi,Pluie,461
Val de Fontenay,14,Dimanche,Nuageux,135
Massy-Palaiseau,16,Jeudi,Pluie,253
Nation,11,Mercredi,Pluie,262
Gare de Lyon,18,Mardi,Soleil,1317
Saint-Lazare,14,Dimanche,Nuageux,76
Nation,12,Lundi,Nuageux,127
Aéroport d'Orly,19,Mardi,Nuageux,881
La Défense,20,Vendredi,Pluie,504
Cergy-Préfecture,12,Vendredi,Pluie,81
Nanterre-Préfecture,8,Vendredi,Soleil,311
La Défense,21,Dimanche,Soleil,240
Nanterre-Préfecture,8,Vendredi,Nuageux,288
Juvisy,15,Jeudi,Pluie,181
Marne-la-Vallée (Chessy),17,Lundi,Pluie,1049
Juvisy,10,Lundi,Nuageux,84
Gare du Nord,18,Dimanche,Soleil,845
Saint-Denis (Stade),11,Vendredi,Soleil,167
La Défense,16,Mercredi,Soleil,326
Cergy-Préfecture,5,Mardi,Pluie,49
République,14,Vendredi,Pluie,294
Gare de Lyon,5,Mercredi,Nuageux,83
Châtelet-Les Halles,20,Samedi,Soleil,273
Gare de Lyon,11,Lundi,Soleil,214
Châtelet-Les Halles,10,Mardi,Soleil,252
Marne-la-Vallée (Chessy),22,Lundi,Soleil,304
Versailles-Chantiers,8,Lundi,Nuageux,201
Cergy-Préfecture,20,Jeudi,Nuageux,297
Aéroport d'Orly,5,Mardi,Nuageux,43
Boulogne - Pont de Sèvres,6,Jeudi,Pluie,128
Nation,20,Samedi,Soleil,197
Auber / Opéra,13,Dimanche,Pluie,166
La Défense,19,Vendredi,Nuageux,1318
Massy-Palaiseau,20,Mardi,Nuageux,210
Châtelet-Les Halles,13,Mercredi,Pluie,331
Cergy-Préfecture,11,Lundi,Pluie,139
Neuilly-Plaisance,14,Lundi,Pluie,90
Aéroport CDG 2,11,Jeudi,Pluie,221
Saint-Denis (Stade),17,Samedi,Nuageux,551
Créteil-Préfecture,6,Jeudi,Pluie,26
Saint-Denis (Stade),16,Samedi,Pluie,220
Marne-la-Vallée (Chessy),17,Jeudi,Pluie,920
Saint-Lazare,7,Mardi,Pluie,357
Saint-Lazare,15,Lundi,Pluie,253
Noisy-le-Grand,12,Samedi,Nuageux,44
Aéroport CDG 2,15,Samedi,Pluie,119
Saint-Denis (Stade),22,Mercredi,Nuageux,295
Nation,11,Samedi,Nuageux,67
Gare du Nord,16,Dimanche,Soleil,293
Versailles-Chantiers,10,Samedi,Soleil,135
Châtelet-Les Halles,14,Mardi,Nuageux,340
Vincennes,19,Dimanche,Nuageux,432
Châtelet-Les Halles,19,Lundi,Nuageux,1541
Montparnasse,23,Vendredi,Pluie,450
Cergy-Préfecture,10,Vendredi,Nuageux,98
Aéroport CDG 2,23,Dimanche,Soleil,250
Gare de Lyon,19,Jeudi,Nuageux,1332
La Défense,22,Samedi,Nuageux,257
Massy-Palaiseau,6,Dimanche,Soleil,115
Massy-Palaiseau,11,Jeudi,Pluie,230
Neuilly-Plaisance,9,Jeudi,Nuageux,238
Marne-la-Vallée (Chessy),7,Lundi,Soleil,412
Versailles-Chantiers,10,Jeudi,Pluie,152
Saint-Lazare,10,Mercredi,Pluie,234
La Défense,5,Mercredi,Soleil,124
République,23,Vendredi,Soleil,335
Montparnasse,16,Mardi,Nuageux,189
Boulogne - Pont de Sèvres,9,Samedi,Soleil,154
Massy-Palaiseau,11,Lundi,Soleil,92
Marne-la-Vallée (Chessy),12,Mardi,Pluie,191
Versailles-Chantiers,23,Jeudi,Soleil,325
La Défense,10,Lundi,Pluie,302
Châtelet-Les Halles,19,Jeudi,Nuageux,1612
Aéroport d'Orly,10,Mardi,Soleil,161
Versailles-Chantiers,13,Vendredi,Soleil,60
Créteil-Préfecture,8,Mercredi,Nuageux,233
Châtelet-Les Halles,20,Mercredi,Soleil,427
La Défense,14,Mercredi,Soleil,217
Juvisy,5,Lundi,Soleil,43
Nanterre-Préfecture,15,Jeudi,Soleil,215
Bercy,21,Mercredi,Soleil,257
Saint-Denis (Stade),22,Jeudi,Soleil,214
La Défense,19,Mercredi,Pluie,1699
Nation,10,Mardi,Soleil,189
Marne-la-Vallée (Chessy),20,Dimanche,Soleil,255
Boulogne - Pont de Sèvres,6,Vendredi,Nuageux,60
Juvisy,7,Jeudi,Soleil,206
Vincennes,21,Lundi,Nuageux,187
Saint-Denis (Stade),12,Mercredi,Nuageux,201
Créteil-Préfecture,19,Mardi,Nuageux,632
Gare du Nord,17,Mercredi,Nuageux,1359
Bercy,23,Vendredi,Pluie,331
Gare du Nord,5,Dimanche,Pluie,44
Massy-Palaiseau,16,Samedi,Soleil,100
Nation,22,Mercredi,Nuageux,278
Châtelet-Les Halles,22,Vendredi,Pluie,623
République,7,Jeudi,Pluie,339
Val de Fontenay,22,Vendredi,Pluie,300
Saint-Denis (Stade),21,Mardi,Soleil,167
Cergy-Préfecture,15,Samedi,Soleil,168
Auber / Opéra,9,Mardi,Pluie,542
Bercy,11,Jeudi,Soleil,159
Créteil-Préfecture,22,Lundi,Nuageux,219
La Défense,11,Dimanche,Soleil,176
Juvisy,22,Mardi,Nuageux,152
Nanterre-Préfecture,6,Jeudi,Soleil,58
Boulogne - Pont de Sèvres,10,Samedi,Nuageux,21
Noisy-le-Grand,12,Dimanche,Soleil,44
Auber / Opéra,21,Dimanche,Soleil,257
Nanterre-Préfecture,8,Jeudi,Nuageux,194
Gare de Lyon,21,Mardi,Nuageux,464
Noisy-le-Grand,20,Jeudi,Nuageux,185
Aéroport d'Orly,19,Jeudi,Pluie,1056
Châtelet-Les Halles,19,Mercredi,Soleil,1599
Nation,12,Jeudi,Soleil,185
Marne-la-Vallée (Chessy),21,Mardi,Pluie,374
Cergy-Préfecture,23,Mardi,Soleil,219
Marne-la-Vallée (Chessy),5,Mardi,Nuageux,14
Neuilly-Plaisance,17,Mercredi,Nuageux,549
Aéroport CDG 2,10,Mardi,Pluie,171
Créteil-Préfecture,14,Dimanche,Soleil,69
Vincennes,5,Jeudi,Soleil,16
Gare du Nord,16,Vendredi,Pluie,440
Gare du Nord,23,Dimanche,Nuageux,264
Créteil-Préfecture,19,Mercredi,Nuageux,757
Saint-Denis (Stade),9,Vendredi,Soleil,275
Aéroport CDG 2,6,Lundi,Nuageux,46
Nanterre-Préfecture,23,Samedi,Soleil,119
Saint-Denis (Stade),18,Vendredi,Nuageux,840
Saint-Denis (Stade),13,Jeudi,Nuageux,137
Massy-Palaiseau,5,Mercredi,Soleil,27
Aéroport d'Orly,17,Mardi,Soleil,824
Bercy,21,Mardi,Nuageux,267
Saint-Lazare,6,Vendredi,Soleil,69
Vincennes,18,Vendredi,Nuageux,697
Saint-Denis (Stade),10,Vendredi,Soleil,197
Val de Fontenay,10,Jeudi,Pluie,117
Montparnasse,22,Mardi,Soleil,346
Châtelet-Les Halles,23,Samedi,Nuageux,308
Nation,13,Lundi,Nuageux,194
Versailles-Chantiers,19,Jeudi,Nuageux,825
Neuilly-Plaisance,11,Samedi,Pluie,138
Neuilly-Plaisance,10,Mardi,Nuageux,71
Montparnasse,9,Mardi,Soleil,478
Auber / Opéra,23,Mardi,Soleil,475
Gare de Lyon,5,Mardi,Nuageux,112
Saint-Lazare,11,Mercredi,Soleil,122
Noisy-le-Grand,22,Mardi,Nuageux,200
Aéroport d'Orly,12,Vendredi,Pluie,199
Vincennes,16,Mardi,Nuageux,293
La Défense,14,Samedi,Pluie,213
Créteil-Préfecture,10,Lundi,Nuageux,125
Nation,20,Mercredi,Pluie,443
Aéroport d'Orly,23,Lundi,Pluie,469
Cergy-Préfecture,22,Lundi,Pluie,404
Noisy-le-Grand,17,Lundi,Soleil,699
Juvisy,11,Jeudi,Soleil,105
Bercy,11,Mardi,Soleil,208
Aéroport CDG 2,20,Samedi,Pluie,287
Massy-Palaiseau,14,Mardi,Soleil,119
Boulogne - Pont de Sèvres,19,Lundi,Soleil,648
Aéroport CDG 2,18,Mardi,Soleil,1032
Créteil-Préfecture,16,Jeudi,Soleil,106
Montparnasse,19,Dimanche,Nuageux,629
Versailles-Chantiers,12,Mardi,Pluie,172
Créteil-Préfecture,11,Mardi,Nuageux,96
République,13,Lundi,Pluie,240
Neuilly-Plaisance,18,Mercredi,Nuageux,516
Versailles-Chantiers,11,Dimanche,Soleil,56
Châtelet-Les Halles,16,Mercredi,Soleil,338
Châtelet-Les Halles,18,Mardi,Nuageux,1432
Vincennes,15,Dimanche,Nuageux,69
Gare du Nord,23,Lundi,Soleil,478
Saint-Denis (Stade),10,Mercredi,Soleil,167
Cergy-Préfecture,7,Samedi,Nuageux,171
Nanterre-Préfecture,10,Dimanche,Pluie,97
Nation,13,Mercredi,Nuageux,200
Noisy-le-Grand,6,Vendredi,Nuageux,32
Versailles-Chantiers,10,Mercredi,Nuageux,55
Châtelet-Les Halles,18,Samedi,Nuageux,925
Cergy-Préfecture,23,Jeudi,Nuageux,174
Auber / Opéra,8,Samedi,Soleil,191
Montparnasse,18,Dimanche,Nuageux,658
Saint-Denis (Stade),14,Vendredi,Soleil,153
Créteil-Préfecture,10,Lundi,Soleil,155
La Défense,15,Samedi,Nuageux,251
Neuilly-Plaisance,17,Vendredi,Nuageux,528
Cergy-Préfecture,22,Mercredi,Nuageux,323
Aéroport CDG 2,18,Vendredi,Pluie,1186
Montparnasse,15,Lundi,Pluie,209
Saint-Denis (Stade),9,Mardi,Soleil,330
Nanterre-Préfecture,12,Dimanche,Nuageux,159
Marne-la-Vallée (Chessy),8,Jeudi,Soleil,308
Montparnasse,16,Mardi,Nuageux,322
Vincennes,10,Lundi,Nuageux,143
Massy-Palaiseau,12,Mardi,Nuageux,206
Marne-la-Vallée (Chessy),8,Jeudi,Soleil,287
Aéroport d'Orly,14,Lundi,Pluie,272
Montparnasse,15,Mardi,Soleil,130
Neuilly-Plaisance,19,Jeudi,Soleil,616
Cergy-Préfecture,9,Vendredi,Pluie,420
Cergy-Préfecture,7,Mardi,Nuageux,251
Versailles-Chantiers,19,Vendredi,Soleil,889
Auber / Opéra,6,Mercredi,Nuageux,174
Gare de Lyon,6,Samedi,Nuageux,93
Châtelet-Les Halles,12,Vendredi,Pluie,293
Montparnasse,18,Vendredi,Soleil,996
Créteil-Préfecture,13,Mercredi,Pluie,159
Bercy,9,Lundi,Soleil,388
Saint-Denis (Stade),16,Samedi,Pluie,136
Montparnasse,14,Mercredi,Nuageux,174
Gare de Lyon,5,Samedi,Pluie,118
Gare du Nord,23,Samedi,Nuageux,410
Aéroport d'Orly,15,Vendredi,Soleil,113
Bercy,21,Lundi,Soleil,222
Aéroport CDG 2,7,Mardi,Pluie,471
Châtelet-Les Halles,5,Jeudi,Pluie,154
Boulogne - Pont de Sèvres,21,Lundi,Nuageux,269
Montparnasse,10,Samedi,Soleil,61
Noisy-le-Grand,17,Vendredi,Nuageux,628
Gare de Lyon,8,Mardi,Pluie,562
Cergy-Préfecture,9,Lundi,Pluie,365
Boulogne - Pont de Sèvres,19,Dimanche,Pluie,458
Cergy-Préfecture,18,Jeudi,Pluie,891
Créteil-Préfecture,23,Samedi,Soleil,10
Gare du Nord,19,Vendredi,Nuageux,1481
Massy-Palaiseau,16,Mercredi,Soleil,196
Aéroport d'Orly,22,Samedi,Soleil,199
Boulogne - Pont de Sèvres,18,Jeudi,Soleil,610
Neuilly-Plaisance,14,Jeudi,Pluie,92
Juvisy,12,Jeudi,Pluie,105
La Défense,8,Dimanche,Nuageux,311
Châtelet-Les Halles,22,Dimanche,Soleil,259
Châtelet-Les Halles,12,Dimanche,Pluie,93
Aéroport CDG 2,8,Dimanche,Soleil,273
Val de Fontenay,15,Jeudi,Soleil,183
Montparnasse,9,Mardi,Soleil,483
Neuilly-Plaisance,14,Samedi,Pluie,100
La Défense,10,Samedi,Soleil,71
Châtelet-Les Halles,8,Lundi,Nuageux,517
Châtelet-Les Halles,22,Dimanche,Pluie,427
Nation,21,Jeudi,Nuageux,357
Bercy,11,Jeudi,Pluie,141
Val de Fontenay,13,Vendredi,Soleil,111
Neuilly-Plaisance,7,Mercredi,Soleil,224
Noisy-le-Grand,13,Vendredi,Soleil,61
Neuilly-Plaisance,8,Lundi,Pluie,242
Marne-la-Vallée (Chessy),23,Mardi,Nuageux,372
Gare du Nord,13,Mercredi,Nuageux,287
Aéroport CDG 2,10,Samedi,Soleil,74
Juvisy,15,Vendredi,Nuageux,130
La Défense,19,Vendredi,Nuageux,1398
Créteil-Préfecture,10,Samedi,Nuageux,121
Massy-Palaiseau,14,Mardi,Soleil,184
Nation,22,Samedi,Pluie,268
Bercy,20,Mardi,Soleil,278
Gare du Nord,8,Samedi,Soleil,397
Aéroport CDG 2,17,Mercredi,Nuageux,937
République,9,Jeudi,Soleil,410
Auber / Opéra,23,Dimanche,Nuageux,278
Gare de Lyon,22,Mardi,Soleil,346
Versailles-Chantiers,21,Dimanche,Soleil,131
Juvisy,20,Dimanche,Pluie,187
Noisy-le-Grand,5,Vendredi,Nuageux,52
Val de Fontenay,5,Dimanche,Soleil,66
Boulogne - Pont de Sèvres,18,Dimanche,Soleil,401
Gare de Lyon,6,Vendredi,Pluie,135
Nanterre-Préfecture,19,Jeudi,Nuageux,716
Versailles-Chantiers,7,Jeudi,Soleil,239
Nanterre-Préfecture,17,Mardi,Nuageux,608
Gare de Lyon,23,Jeudi,Soleil,377
Bercy,5,Dimanche,Nuageux,67
Montparnasse,17,Vendredi,Nuageux,1026
